model,dialect,vocab_jaccard_vs_standard,accuracy_drop,ece_increase
banglabert,barishal,0.2988288242213471,0.0038809209102724784,0.004441548669906301
banglabert,noakhali,0.2688565697091273,0.020215452109226817,0.010076063597870999
banglabert,chittagong,0.1451302048316973,0.0797240709765713,0.04862926044940699
xlmr_base,barishal,0.2988288242213471,0.013724514119966225,0.008058015224001604
xlmr_base,noakhali,0.2688565697091273,0.027772210951067078,0.017045941361342402
xlmr_base,chittagong,0.1451302048316973,0.09774283014723739,0.056442226580772706
