model,test_set,n,accuracy,macro_f1,nonhate_precision,nonhate_recall,nonhate_f1,hate_precision,hate_recall,hate_f1,macro_precision,macro_recall
banglabert,test_standard,5029,0.9270232650626367,0.9269254426052833,0.931923076923077,0.9272866437045542,0.9295990792250144,0.9217785096747633,0.9267384105960265,0.9242518059855521,0.9268507932989201,0.9270125271502903
banglabert,test_dialect_chittagong,3060,0.842156862745098,0.8412988330796549,0.8060989643268124,0.9056237879767292,0.8529680365296803,0.8895612708018155,0.7772637144745539,0.8296296296296296,0.8478301175643139,0.8414437512256415
banglabert,test_dialect_noakhali,3061,0.9081999346618752,0.908198523796752,0.9154098360655738,0.9018087855297158,0.9085584119752684,0.9010416666666666,0.914738929279577,0.9078386356182355,0.9082257513661203,0.9082738574046464
banglabert,test_dialect_barishal,3061,0.9160405096373734,0.9159990547882205,0.9082858950031626,0.9276485788113695,0.9178651326302333,0.9243243243243243,0.9041639127561136,0.9141329769462078,0.9163051096637435,0.9159062457837416
xlmr_base,test_standard,5029,0.9057466693179559,0.9053610875106202,0.8907563025210085,0.933027171833142,0.9114018691588786,0.9236474694589878,0.8762417218543046,0.8993203058623619,0.9072018859899982,0.9046344468437233
xlmr_base,test_dialect_chittagong,3060,0.822875816993464,0.8213586360128892,0.7799442896935933,0.9049773755656109,0.8378216636744464,0.8837944664031621,0.7389292795769994,0.8048956083513319,0.8318693780483777,0.8219533275713051
xlmr_base,test_dialect_noakhali,3061,0.8846782097353806,0.8845646682524073,0.8713486637663145,0.9056847545219638,0.8881849857459614,0.8994490358126722,0.8631857237276933,0.8809443507588532,0.8853988497894933,0.8844352391248286
xlmr_base,test_dialect_barishal,3061,0.8908853315909834,0.8906466728104605,0.8665458937198067,0.9270025839793282,0.8957553058676654,0.9195729537366548,0.8539325842696629,0.8855380397532556,0.8930594237282308,0.8904675841244956
