model,dialect,n_seeds,accuracy_drop_mean,accuracy_drop_std,accuracy_drop_95ci_low,accuracy_drop_95ci_high,ece_increase_mean,ece_increase_std,ece_increase_95ci_low,ece_increase_95ci_high
banglabert,chittagong,3,0.0867383987686235,0.009235140477826023,0.06379703803462822,0.1096797595026188,0.05511688594076306,0.0056513672485162605,0.04107811143594709,0.06915566044557903
banglabert,noakhali,3,0.02483173548985962,0.005900263022318501,0.010174669607053887,0.03948880137266535,0.015683524627870777,0.005906162386798161,0.001011803911285943,0.030355245344455613
banglabert,barishal,3,0.00697264804566929,0.002679109490733139,0.000317371125913353,0.013627924965425227,0.0067608656077756376,0.002050225143036505,0.0016678240124430553,0.01185390720310822
xlmr_base,chittagong,3,0.08763574319058391,0.008756734013596258,0.06588280999591219,0.10938867638525564,0.043069507919838136,0.027084595824020365,-0.02421235797329257,0.11035137381296883
xlmr_base,noakhali,3,0.028558156658493854,0.0007270895941376951,0.026751965977897547,0.030364347339090162,0.01789837141369566,0.002775942267146497,0.011002548542320793,0.024794194285070528
xlmr_base,barishal,3,0.01342149108079597,0.004325947986531483,0.0026752405485158757,0.02416774161307606,0.0070005976722273275,0.0013811867697146097,0.003569539530651166,0.01043165581380349
