,accuracy,accuracy,accuracy,ece,ece,ece
model,banglabert,distilbert_multi,xlmr_base,banglabert,distilbert_multi,xlmr_base
test_set,,,,,,
test_standard,0.9238417180353948,0.8979916484390534,0.9176774706701132,0.0376347614026844,0.04006816185736754,0.0417369309956651
test_dialect_chittagong,0.8441176470588235,0.8311009474028095,0.8199346405228758,0.0862640218520914,0.07088605731443344,0.0981791575764378
test_dialect_noakhali,0.903626265926168,0.8729173472721333,0.8899052597190461,0.0477108250005554,0.06377513248842161,0.0587828723570075
test_dialect_barishal,0.9199607971251224,0.8761842535119242,0.903952956550147,0.0420763100725907,0.059093786736999575,0.0497949462196667
