model,test_set,accuracy_drop_rel,ece_increase_rel,H1_supported
banglabert,test_dialect_chittagong,0.08629624471398548,1.292136807487196,True
banglabert,test_dialect_noakhali,0.021881943318403284,0.2677328943329579,True
banglabert,test_dialect_barishal,0.004200850464433745,0.11801718688694768,True
xlmr_base,test_dialect_chittagong,0.10651109269999078,1.3523329395406414,True
xlmr_base,test_dialect_noakhali,0.030263585887955993,0.4084138664415166,True
xlmr_base,test_dialect_barishal,0.014955705635820304,0.19306678837594782,True
