model,test_set,n_seeds,accuracy_mean,accuracy_std,accuracy_95ci_low,accuracy_95ci_high,ece_mean,ece_std,ece_95ci_low,ece_95ci_high,macro_f1_mean,macro_f1_std
banglabert,test_standard,5,0.9219725591568901,0.0035420395032399197,0.9175745362255016,0.9263705820882787,0.03723705323784103,0.008230333108482445,0.027017744923813883,0.04745636155186818,0.9219276624830861,0.0035676986032571333
banglabert,test_dialect_chittagong,5,0.8303921568627451,0.014061784296699456,0.8129321455510263,0.847852168174464,0.09074178653661233,0.013708449188479797,0.07372049870807132,0.10776307436515334,0.8300440878097533,0.013750501301287877
banglabert,test_dialect_noakhali,5,0.8962430578242404,0.007551430983338315,0.8868667178373087,0.9056193978111721,0.05291848476124382,0.009560523692045877,0.0410475266888563,0.06478944283363133,0.8961945069095855,0.0075743758937252825
banglabert,test_dialect_barishal,5,0.9145377327670696,0.004206577877247913,0.9093145764612505,0.9197608890728888,0.0438013798365235,0.00708339844415999,0.03500617900347747,0.05259658066956953,0.9145300078407761,0.0042128133784566845
xlmr_base,test_standard,5,0.9162060051700139,0.002346896420571946,0.9132919483770765,0.9191200619629514,0.0417924111256129,0.010556868200643641,0.028684327947091512,0.05490049430413428,0.9161512461937494,0.002313300899560863
xlmr_base,test_dialect_chittagong,5,0.8315686274509805,0.006965462234932354,0.8229198637630171,0.8402173911389439,0.08937667686375442,0.030019239486381688,0.05210286794005735,0.12665048578745147,0.8314677586669152,0.006893611994509858
xlmr_base,test_dialect_noakhali,5,0.8885984972231297,0.006558268506986177,0.8804553313274514,0.896741663118808,0.058761876991862416,0.011284939309907788,0.04474977412883546,0.07277397985488937,0.8885357537315214,0.006570917018309715
xlmr_base,test_dialect_barishal,5,0.9039529565501472,0.00448530879377521,0.8983837101000898,0.9095222030002046,0.04870749256879597,0.01088101428225151,0.035196928870583274,0.06221805626700866,0.9039370637791724,0.004491564332978538
