model,dialect,metric,estimate_direction,estimate,bootstrap_mean,ci_95_low,ci_95_high,paired_bootstrap,n_instances,n_boot,estimate_pct,ci_95_low_pct,ci_95_high_pct
banglabert,chittagong,accuracy,accuracy_drop,0.07972407097657119,0.07986288253619205,0.0646788934636624,0.09513004313543534,False,3060,2000,7.972407097657119,6.46788934636624,9.513004313543535
banglabert,chittagong,ece,ece_increase,0.04862926044940699,0.05014992284459658,0.036099936305220744,0.06437017892431593,False,3060,2000,4.862926044940699,3.6099936305220743,6.437017892431593
banglabert,noakhali,accuracy,accuracy_drop,0.020215452109226817,0.02026919037826279,0.00798130724191061,0.03271575823958373,False,3061,2000,2.0215452109226817,0.7981307241910609,3.2715758239583734
banglabert,noakhali,ece,ece_increase,0.010076063597870805,0.010723321944124925,-0.0003526866141676531,0.021773373184379753,False,3061,2000,1.0076063597870806,-0.03526866141676531,2.177337318437975
banglabert,barishal,accuracy,accuracy_drop,0.0038809209102722564,0.0039447865886515525,-0.007667097317102756,0.015869307250225676,False,3061,2000,0.38809209102722564,-0.7667097317102756,1.5869307250225677
banglabert,barishal,ece,ece_increase,0.00444154866990612,0.0052447456651147474,-0.004974763483730871,0.015954009873755552,False,3061,2000,0.444154866990612,-0.49747634837308713,1.5954009873755552
xlmr_base,chittagong,accuracy,accuracy_drop,0.0977428301472375,0.09791800244854355,0.08245170169877453,0.11382661770879225,False,3060,2000,9.77428301472375,8.245170169877452,11.382661770879226
xlmr_base,chittagong,ece,ece_increase,0.056442226580772505,0.05825723781201121,0.044997518461057026,0.07232546345970303,False,3060,2000,5.6442226580772505,4.499751846105703,7.232546345970303
xlmr_base,noakhali,accuracy,accuracy_drop,0.02777221095106719,0.02783028766379436,0.01449123343347564,0.041342175525694864,False,3061,2000,2.777221095106719,1.449123343347564,4.134217552569487
xlmr_base,noakhali,ece,ece_increase,0.017045941361342347,0.018690738304504153,0.0075151167872918615,0.030115018330365687,False,3061,2000,1.7045941361342347,0.7515116787291861,3.0115018330365686
xlmr_base,barishal,accuracy,accuracy_drop,0.013724514119966336,0.0137437146484399,0.0010531663818003968,0.02609714034295303,False,3061,2000,1.3724514119966336,0.10531663818003968,2.609714034295303
xlmr_base,barishal,ece,ece_increase,0.008058015224001784,0.00885450584459408,-0.002340384183390226,0.019490345709105898,False,3061,2000,0.8058015224001784,-0.23403841833902259,1.9490345709105898
