model,test_set,stage,accuracy,ece,mce,brier,nll
banglabert,test_standard,temp_scaling,0.9238417180353947,0.021105169581249698,0.31727737815499585,0.05781218276574606,0.19838400045949894
banglabert,test_standard,dirichlet,0.9240405647245974,0.01821851583246911,0.291983420310466,0.0571422688702543,0.19699662558209247
banglabert,test_dialect_chittagong,temp_scaling,0.8441176470588235,0.0612112410005514,0.19560211729068472,0.1212099690288489,0.39631533809918384
banglabert,test_dialect_chittagong,dirichlet,0.8450980392156863,0.05650581474824809,0.2064563311842511,0.11984521553864981,0.38824569761638006
banglabert,test_dialect_noakhali,temp_scaling,0.9036262659261679,0.028122776321968693,0.3172603147656714,0.07279083475196214,0.24011601877846753
banglabert,test_dialect_noakhali,dirichlet,0.9029728846782097,0.030834283106249145,0.2482833052224272,0.07170596805963315,0.23784505272201806
banglabert,test_dialect_barishal,temp_scaling,0.9199607971251225,0.023126316381216885,0.2815985426322443,0.06283659528363665,0.2181490041125939
banglabert,test_dialect_barishal,dirichlet,0.9202874877491016,0.022477967084632414,0.3098461724021213,0.06220459680945003,0.21597433767402677
xlmr_base,test_standard,temp_scaling,0.9176774706701133,0.02135406367941102,0.2543637341823687,0.06337730842769608,0.21597152140627962
xlmr_base,test_standard,dirichlet,0.9174786239809107,0.016245471619719197,0.15677841758580946,0.06268595919035816,0.21399827820935347
xlmr_base,test_dialect_chittagong,temp_scaling,0.8199346405228758,0.07855406703871244,0.3028927986665659,0.1344957223554139,0.42820779783853163
xlmr_base,test_dialect_chittagong,dirichlet,0.8209150326797385,0.06808059973046825,0.2394459613294635,0.13207046733035321,0.4148890204189626
xlmr_base,test_dialect_noakhali,temp_scaling,0.8899052597190461,0.040634587523760216,0.31136091758170104,0.08579522590250223,0.2844356879507901
xlmr_base,test_dialect_noakhali,dirichlet,0.8908853315909834,0.03521493331104114,0.23933685847883035,0.08470275035972986,0.27973007931531346
xlmr_base,test_dialect_barishal,temp_scaling,0.903952956550147,0.031649285428763704,0.30497226033031155,0.07422754208775233,0.25290960692987263
xlmr_base,test_dialect_barishal,dirichlet,0.9036262659261679,0.019934533156283796,0.26056102323095776,0.07336858409578985,0.24893102748747298
