model,dialect,n_seeds,accuracy_drop_mean,accuracy_drop_std,accuracy_drop_95ci_low,accuracy_drop_95ci_high,ece_increase_mean,ece_increase_std,ece_increase_95ci_low,ece_increase_95ci_high
banglabert,chittagong,5,0.09158040229414495,0.010739658967671532,0.07824535440100097,0.10491545018728893,0.053504733298771326,0.006295828559763696,0.04568742963724967,0.06132203696029298
banglabert,noakhali,5,0.025729501332649618,0.004616315369155041,0.019997588734415074,0.03146141393088416,0.015681431523402792,0.00425699546375548,0.010395673515540866,0.020967189531264717
banglabert,barishal,5,0.007434826389820492,0.0022311146686662246,0.004664531629873316,0.010205121149767668,0.006564326598682465,0.002152116770324729,0.0038921206850396853,0.009236532512325245
xlmr_base,chittagong,5,0.0846373777190335,0.007586872821370688,0.07521703087778688,0.09405772456028012,0.04758426573814152,0.020240882207443862,0.022451891009275294,0.07271664046700775
xlmr_base,noakhali,5,0.027607507946884203,0.0058642744834512955,0.02032604944519774,0.03488896644857067,0.016969465866249523,0.005266489720696904,0.010430255183149967,0.02350867654934908
xlmr_base,barishal,5,0.012253048619866914,0.0043774722799486175,0.006817698886719756,0.01768839835301407,0.006915081443183077,0.003230659394881468,0.0029036879820999928,0.01092647490426616
