Model,Dialect,Pre,Temp,Dirichlet,Dirichlet_delta_vs_Pre
banglabert,barishal,0.017989342165591934,0.017989342165591934,0.018295219681034963,0.0003058775154430281
banglabert,chittagong,0.0618334694274886,0.0618334694274886,0.06287652153885528,0.0010430521113666824
banglabert,noakhali,0.019734063192986675,0.019734063192986675,0.01954557500433497,-0.0001884881886517059
banglabert,standard,0.014330069116993608,0.014330069116993608,0.014417658270698151,8.758915370454291e-05
xlmr_base,barishal,0.024379290280962144,0.024379290280962144,0.024245522939425217,-0.00013376734153692713
xlmr_base,chittagong,0.0711073197434721,0.0711073197434721,0.07089224287858377,-0.0002150768648883361
xlmr_base,noakhali,0.030923567597528453,0.030923567597528453,0.03068952027661883,-0.0002340473209096229
xlmr_base,standard,0.016768451015417542,0.016768451015417542,0.016782898634242517,1.4447618824974667e-05
