model,test_set,aurc_delta_dirichlet_minus_pre,ci_95_low,ci_95_high,significant_improvement
banglabert,test_standard,8.758915370454291e-05,-4.273293058427059e-05,0.00023695961178807657,False
banglabert,test_dialect_chittagong,0.0010430521113666824,0.0006314147695620191,0.0015399287106111666,False
banglabert,test_dialect_noakhali,-0.0001884881886517059,-0.0003274854747661273,-2.17628987400311e-05,True
banglabert,test_dialect_barishal,0.0003058775154430281,5.012076406149435e-05,0.0005543363857285012,False
xlmr_base,test_standard,1.4447618824974667e-05,-7.832275484252185e-05,9.100741122454978e-05,False
xlmr_base,test_dialect_chittagong,-0.0002150768648883361,-0.0004189205966841747,-2.280300101027491e-05,True
xlmr_base,test_dialect_noakhali,-0.0002340473209096229,-0.0003486461843188765,-7.884627741763658e-05,True
xlmr_base,test_dialect_barishal,-0.00013376734153692713,-0.00022196236984584132,-8.564627749887221e-06,True
